olin,601|110|Olin Library Room 601 (Non-Circulating)|Y|N
olin,604|111|Olin Library Room 604-605 (Non-Circulating)|Y|N
olin,str2|112|Special Location -- Ask at Olin Circulation Desk|Y|N
orni|113|Adelson Library (Lab of Ornithology)|Y|N
orni,ref|114|Adelson Library Reference (Lab of Ornithology)|Y|N
phys|115|Spacecraft Planetary Imaging Facility (Non-Circulating)|Y|N
phys,anx|116|Library Annex|Y|N
phys,ref|117|Physical Sciences Library Reference (Non-Circulating)|Y|Y
phys,res|119|Physical Sciences Reserve|Y|Y
cts,rev|120|Library Technical Services Review Shelves|Y|N
rmc,icer|121|Kroch Library Rare & Manuscripts (Non-Circulating)|Y|N
sasa|122|Kroch Library Asia|Y|N
sasa,anx|123|Library Annex|Y|N
sasa,av|124|Uris Library Asia A/V|Y|N
sasa,str1|125|Request at Olin Circulation Desk|Y|N
sasa,rare|126|Kroch Library Rare & Manuscripts (Non-Circulating)|Y|N
sasa,ref|127|Kroch Library Asia Reference (Non-Circulating)|Y|N
serv,remo|128|*Networked Resource|Y|N
uris|129|Uris Library|Y|N
uris,res2|130|Uris Library Reserve Willis Room|Y|N
uris,ref|131|Uris Library Reference (Non-Circulating)|Y|N
uris,res|132|Uris Library Reserve|Y|N
vet|133|Veterinary Library (Schurman Hall)|Y|N
vet,anx|134|Library Annex|Y|N
vet,core|135|Veterinary Library Core Resource (Non-Circulating)|Y|N
vet,res|136|Veterinary Library Reserve|Y|N
vet,rare|137|Veterinary Library Rare Books (Non-Circulating)|Y|N
vet,ref|138|Veterinary Library Reference (Non-Circulating)|Y|N
was|139|Kroch Library Asia|Y|N
was,anx|140|Library Annex|Y|N
was,av|141|Uris Library Asia A/V|Y|N
was,str1|142|Request at Olin Circulation Desk|Y|N
was,rare|143|Kroch Library Rare & Manuscripts (Non-Circulating)|Y|N
was,ref|144|Kroch Library Asia Reference (Non-Circulating)|Y|N
ilr,mcs|147|ILR Multi-Copy Storage|Y|N
afr,circ|149|||Y
afr,proc|150|||Y
anx,circ|151|||Y
ech,proc|152|||Y
cts,acq|153|||Y
cts,appr|154|||Y
cts,doc|155|||Y
cts,sto|156|||Y
engr,circ|157|||Y
engr,proc|158|||Y
ent,circ|159|||Y
fine,circ|160|||Y
fine,proc|161|||Y
gnva,circ|162|||Y
gnva,proc|163|||Y
gift,exch|164|||Y
hote,circ|165|||Y
hote,proc|166|||Y
ilr,circ|167|||Y
ilr,ts|168|Library Annex||N
jgsm,circ|169|||Y
jgsm,proc|170|Library Annex||N
law,circ|171|||Y
mann,circ|172|||Y
mann,doc|173|Library Annex||N
mann,ser|174|||Y
maps,proc|175|||Y
math,circ|176|||Y
math,proc|177|||Y
mus,ts|178|Library Annex||N
mus,circ|179|||Y
mann,ils|180|||Y
olin,circ|181|||Y
olin,ils|182|||Y
oku,proc|183|||Y
phys,circ|184|||Y
phys,proc|185|||Y
rmc,circ|186|||Y
rmc,ts|187|||Y
uris,circ|188|||Y
vet,circ|189|||Y
vet,proc|190|||Y
was,proc|191|||Y
bind,circ|192|||Y
acct,endw|193|||Y
acct,mann|194|||Y
acct,ilr|195|||Y
acct,gnva|196|||Y
acct,hote|197|||Y
acct,vet|198|||Y
cts,ser|199|||Y
AA|200|||Y
dum,ord|201|||Y
asia,res|202|Asia Reserve, Severinghouse Reading Rm., Kroch Library||N
rmc,anx|203|Kroch Library Rare & Manuscripts (Request in advance)||N
gnva,res|204|Geneva Library Reserve||Y
vet,comp|205|Companion Animal Hospital Collection (Departmental use only)||N
vet,equ|206|Equine Farm Animal Collection (Departmental use only)||N
olin,self|207|||Y
uris,self|208|||Y
hote,self|209|||Y
uris,anx|210|Library Annex||N
vet,crar|211|Center for Animal Resources and Education (Dept. use only)||N
vet,oph|212|Clinical Ophthalmology Collection (Departmental use only)||N
bd|213|||Y
olin,602|214|Olin Library Room 602 (Non-Circulating)||N
dcap|215|DCAPS (106G Olin)||N
olin,av|216|Olin Library||N
engr,self|217|||Y
orni,proc|218|||Y
orni,circ|219|||Y
olin,res|220|Olin Library Reserve||N
ilr,ranx|221|Request at ILR Circulation Desk||N
orni,cumv|222|Museum of Vertebrates (Lab of Ornithology) (non-circulating)||N
vet,path|223|Anatomic Pathology Collection (Departmental use only)||N
ZZ|224|||Y
lts,ersm|225|LTS E-Resources and Serials Management||Y
vet,feli|226|Cornell Feline Health Center (Department use only)||N
orni,mac|227|Macaulay Library (Lab of Ornithology) (Non-circulating)||N
YY|228|||Y
maps,anx|229|Map Storage (Request in Advance at Map Room, Olin Library)||N
maps,circ|230|||Y
orni,anx|231|Library Annex||N
sasa,ranx|232|Kroch Library Rare & Manuscripts (Request in advance)||N
ech,ranx|233|Kroch Library Rare & Manuscripts (Request in advance)||N
was,ranx|234|Kroch Library Rare & Manuscripts (Request in advance)||N
asia|235|Kroch Library Asia||N
asia,anx|236|Library Annex||N
asia,av|237|Uris Library Asia A/V||N
asia,rare|238|Kroch Library Rare & Manuscripts (Non-Circulating)||N
asia,ref|239|Kroch Library Asia Reference (Non-Circulating)||N
asia,ranx|240|Kroch Library Rare & Manuscripts (Request in advance)||N
mgmt,circ|241|||Y
law,self|242|||Y
lawr|243|Law Library (Myron Taylor Hall) Rare Books ||N
lawr,anx|244|Law Library Rare--Request in advance at Law Circulation Desk||N
jgsm,ref2|245|Sage Hall Management Library Reference (Non-Circulating)||N
nest,circ|246|||Y
olin,501|247|Olin Library Graduate Study Room 501, Request at Circulation||N
XX|248|||Y
WW|249|||Y
VV|250|||Y
